"id","name","languagegroup_id","description"
"3","Game Version 2023-09 English","1","NULL"
"5","Game Versie 2023-11 Nederlands","1","NULL"
"7","Game Version 2024-04 English","1","NULL"
"11","Game Version 2024-09 OLD","1",""
"12","Game Version 2024-09 English","1",""
